Lista/Pacto,Votos,Porcentaje
A. PARTIDO DE LA GENTE,537194,0.0548
     PARTIDO DE LA GENTE,537194,0.0548
B. TODO POR CHILE,877564,0.0895
     PARTIDO DEMOCRATA CRISTIANO,370579,0.0378
     PARTIDO POR LA DEMOCRACIA,352288,0.0359
     PARTIDO RADICAL DE CHILE,154697,0.0158
C. PARTIDO REPUBLICANO DE CHILE,3470855,0.3541
     PARTIDO REPUBLICANO DE CHILE,3470855,0.3541
D. UNIDAD PARA CHILE,2802783,0.286
     ACCIÓN HUMANISTA,6851,0.0007
     COMUNES,220515,0.0225
     CONVERGENCIA SOCIAL,560799,0.0572
     FEDERACION REGIONALISTA VERDE SOCIAL,99527,0.0102
     PARTIDO COMUNISTA DE CHILE,791856,0.0808
     PARTIDO LIBERAL DE CHILE,114747,0.0117
     PARTIDO SOCIALISTA DE CHILE,584142,0.0596
     REVOLUCION DEMOCRATICA,424346,0.0433
E. CHILE SEGURO,2064454,0.2106
     EVOLUCION POLITICA,471903,0.0481
     RENOVACION NACIONAL,724384,0.0739
     UNION DEMOCRATA INDEPENDIENTE,868167,0.0886
CANDIDATURAS INDEPENDIENTES,48524,0.005
